date,total_posts,num_posts,num_comments,sentiment_mean,sentiment_median,sentiment_sd,afinn_mean,bing_mean,nrc_mean,avg_score,total_score,joy_total,fear_total,anger_total,trust_total,positive_count,negative_count,neutral_count,sentiment_momentum,pos_neg_ratio
2021-08-27,1639,720,919,0.15014282755847524,0.010121765601217655,0.4026410902662995,2.095790115924344,0.7107992678462477,1.4179377669310556,12.066503965832824,19777,1414,1023,955,2722,665,225,749,-0.09096603225936578,2.9555555555555557
2021-08-28,1620,678,942,0.13110317191874776,0.0091324200913242,0.38571840403155194,1.8296296296296297,0.5993827160493828,1.269753086419753,15.55,25191,1520,1199,1078,2761,638,213,769,-0.019039655639727482,2.995305164319249
2021-08-29,1337,387,950,0.12995722949104574,0.011111111111111112,0.33871395554520917,1.8272251308900525,0.5594614809274495,1.1024682124158565,14.354525056095737,19192,1008,666,649,1812,548,160,629,-0.0011459424277020236,3.425
2021-08-30,661,661,0,0.245850574633241,0.13333333333333333,0.4954660806635686,3.437216338880484,1.0605143721633887,2.367624810892587,44.85930408472012,29652,1029,855,764,2014,340,99,222,0.11589334514219526,3.4343434343434343
2021-08-31,1747,824,923,0.13904893712117053,0.061111111111111116,0.3796934992031208,1.9496279336004578,0.5958786491127648,1.2621637092157985,20.152833428734976,35207,1538,1171,1083,2782,743,228,776,-0.10680163751207047,3.258771929824561
2021-09-01,1796,886,910,0.18419716739041267,0.056050228310502284,0.45318964080245683,2.5902004454342986,0.8608017817371938,1.4749443207126949,20.849109131403118,37445,1742,1189,1195,3217,778,217,801,0.04514823026924214,3.585253456221198
2021-09-02,1261,320,941,0.12342937703762447,0.011111111111111112,0.33782517991021255,1.7351308485329104,0.5868358445678034,0.9841395717684377,5.176050753370341,6527,837,563,549,1505,503,152,606,-0.060767790352788204,3.3092105263157894
2021-09-03,636,636,0,0.2846784268114069,0.08215372907153728,0.5807229943808504,3.9827044025157234,1.221698113207547,2.710691823899371,36.272012578616355,23069,1072,810,752,2208,310,87,239,0.16124904977378246,3.5632183908045976
2021-09-04,1587,657,930,0.15415562518522355,0.0091324200913242,0.4081004401386161,2.1625708884688093,0.7504725897920604,1.2734719596723378,18.490233144297417,29344,1344,1015,972,2536,641,182,764,-0.13052280162618338,3.521978021978022
2021-09-05,1456,515,941,0.13487479510595948,0.0091324200913242,0.37266798064761025,1.885989010989011,0.5899725274725275,1.2843406593406594,10.678571428571429,15548,1221,910,815,2291,580,198,678,-0.019280830079264066,2.9292929292929295
2021-09-06,549,549,0,0.3103685128350148,0.14246575342465753,0.5512694117257795,4.3570127504553735,1.3679417122040072,2.6939890710382515,34.98724954462659,19208,921,751,655,1852,298,64,187,0.17549371772905534,4.65625
2021-09-07,1801,932,869,0.14801488603067633,0.0091324200913242,0.44360278274853965,2.0749583564686285,0.5757912270960578,1.4203220433092727,20.46085508051083,36850,1844,1584,1389,3707,737,308,756,-0.16235362680433849,2.392857142857143
2021-09-08,1557,677,880,0.10433330498392393,0.0045662100456621,0.4000895507656419,1.4669235709698139,0.34232498394348104,1.0154142581888246,17.775208734746307,27676,1384,1312,1084,2690,582,292,683,-0.043681581046752405,1.9931506849315068
2021-09-09,1639,722,917,0.1343551354307997,0.0091324200913242,0.40177215353664864,1.8791946308724832,0.5845027455765711,1.2763880414887125,18.627211714460035,30530,1420,1162,1062,2826,647,240,752,0.030021830446875758,2.6958333333333333
2021-09-10,907,313,594,0.12776418487025487,0.0091324200913242,0.3474192916992108,1.7905181918412347,0.5281146637265711,1.1962513781697905,9.192943770672548,8338,722,529,480,1321,368,113,426,-0.006590950560544817,3.256637168141593
2021-09-17,197,197,0,0.18577173585517928,0.06666666666666667,0.49471218549242035,2.568527918781726,1.0812182741116751,1.868020304568528,19.416243654822335,3825,255,228,181,533,84,33,80,0.05800755098492441,2.5454545454545454
2021-09-18,545,545,0,0.27223786184072724,0.06765601217656013,0.6546059049046407,3.7871559633027525,1.2495412844036697,2.8073394495412844,47.85321100917431,26080,940,788,690,1962,251,85,209,0.08646612598554795,2.9529411764705884
2021-09-19,1129,191,938,0.08960051391770577,0.005555555555555556,0.3286221946259299,1.258635961027458,0.3728963684676705,0.7927369353410098,6.4782993799822854,7314,628,462,468,1205,408,156,565,-0.18263734792302147,2.6153846153846154
