date,sentiment_mean,sentiment_sd,positive_count,negative_count,neutral_count,total_posts,joy_total,fear_total,anger_total,trust_total,price,price_change_pct,volatility_7d,volume_24h,cryptocurrency
2021-09-08,0.10433330498392392,0.4000895507656419,582,292,683,1557,1384,1312,1084,2690,46073.45,-1.6707675017516357,4.8601549478872546,2105187289.07,btc
2021-09-09,0.1343551354307997,0.40177215353664864,647,240,752,1639,1420,1162,1062,2826,46392.85,0.6932409012131657,4.849128192958582,1499767099.51,btc
2021-09-10,0.12776418487025487,0.3474192916992108,368,113,426,907,722,529,480,1321,44853.1,-3.318938155340745,4.818149429138536,1631276774.64,btc
2021-09-17,0.18577173585517928,0.4947121854924203,84,33,80,197,255,228,181,533,47297.98,-0.9766464487096728,2.4214526765027062,899242093.44,btc
2021-09-18,0.27223786184072724,0.6546059049046407,251,85,209,545,940,788,690,1962,48312.46,2.1448696117677635,2.4738814695083406,761079785.11,btc
2021-09-19,0.08960051391770577,0.3286221946259299,408,156,565,1129,628,462,468,1205,47251.76,-2.195499877257334,2.692375394919573,668723282.36,btc
2021-08-13,0.4875975076103501,0.7548574299566676,19,4,9,32,73,41,46,150,3324.26,NA,NA,1440675493.43,eth
2021-08-14,0.1254380981462939,0.3372827873434039,1559,441,1858,3858,2961,1983,1900,5064,3266.71,-1.7312123600440432,NA,761182928.57,eth
2021-08-15,0.15217123749413378,0.40999225264242184,761,273,779,1813,1865,1338,1235,3483,3311.12,1.3594717621092656,NA,999629719.78,eth
2021-08-16,0.14765499693854583,0.40020493071965896,893,241,800,1934,1895,1390,1265,3489,3147.63,-4.937604194351152,NA,1207480563.4,eth
2021-08-17,0.15217779126546674,0.412257871460994,847,238,856,1941,1769,1356,1197,3290,3011.96,-4.310227059724303,NA,1624081267.21,eth
2021-08-18,0.1381381566291341,0.4111017103093499,778,236,877,1891,1684,1200,1097,3058,3013.52,0.05179351651416475,NA,1162842776.74,eth
2021-08-19,0.093063479408337,0.31541183538962597,450,178,695,1323,757,530,488,1454,3184.74,5.681727680586146,NA,1067409385.98,eth
2021-08-20,0.19817562996786744,0.4031144638329699,157,36,131,324,392,294,278,836,3286.5,3.195237287816277,3.877914619878452,1211687408.42,eth
2021-08-21,0.15605390172187164,0.41660804481189234,787,237,882,1906,1765,1281,1206,3248,3226.59,-1.8229119123687745,3.884497863709031,697445564.75,eth
2021-08-22,0.1825108421732544,0.4609361963314289,768,221,710,1699,1788,1283,1233,3264,3241.65,0.4667466272442411,3.842572674771293,653906471.77,eth
2021-08-23,0.13268259579571998,0.36261802477535,494,133,675,1302,958,666,635,1785,3322.71,2.5005784091434835,3.319677670169046,1251116527.27,eth
2021-08-26,0.24110885981784105,0.5776322434915734,295,93,234,622,974,696,661,1856,3093.62,-4.188475189385732,3.1662747458834253,917871423.67,eth
2021-08-27,0.15014282755847524,0.4026410902662995,665,225,749,1639,1414,1023,955,2722,3275.87,5.8911566385011715,3.777280474402793,1066589734.58,eth
2021-08-28,0.13110317191874776,0.38571840403155194,638,213,769,1620,1520,1199,1078,2761,3246.78,-0.8880083764007618,3.717533323681824,440641512.36,eth
2021-08-29,0.12995722949104574,0.33871395554520917,548,160,629,1337,1008,666,649,1812,3225.3,-0.6615785485927561,3.725873635204003,598363684.17,eth
2021-08-30,0.245850574633241,0.4954660806635686,340,99,222,661,1029,855,764,2014,3228.46,0.09797538213498493,3.5628321584038587,1341591930.15,eth
2021-08-31,0.13904893712117053,0.3796934992031208,743,228,776,1747,1538,1171,1083,2782,3435.17,6.402743103523045,3.8183883618792303,1922788188.74,eth
2021-09-01,0.18419716739041267,0.4531896408024568,778,217,801,1796,1742,1189,1195,3217,3829.18,11.469883586547391,5.463731781377908,2152466889.63,eth
2021-09-02,0.12342937703762448,0.33782517991021255,503,152,606,1261,837,563,549,1505,3787.7,-1.0832606458824112,4.920830223573542,1360330757.88,eth
2021-09-03,0.2846784268114069,0.5807229943808504,310,87,239,636,1072,810,752,2208,3939.79,4.01536552525279,4.788521477503744,2016700978.59,eth
2021-09-04,0.15415562518522355,0.4081004401386161,641,182,764,1587,1344,1015,972,2536,3887.01,-1.3396653121105384,4.848608909958705,898914227.68,eth
2021-09-05,0.13487479510595948,0.37266798064761025,580,198,678,1456,1221,910,815,2291,3952.33,1.6804690494750307,4.654902541379646,832602701.76,eth
2021-09-06,0.3103685128350148,0.5512694117257795,298,64,187,549,921,751,655,1852,3928.4,-0.6054656367256772,4.735760995570089,971327540.19,eth
2021-09-07,0.1480148860306763,0.4436027827485397,737,308,756,1801,1844,1584,1389,3707,3433.48,-12.598513389675192,7.213694997017857,3755934253.91,eth
2021-09-08,0.10433330498392392,0.4000895507656419,582,292,683,1557,1384,1312,1084,2690,3499.69,1.9283642252175603,5.409466492512393,2254428180.74,eth
2021-09-09,0.1343551354307997,0.40177215353664864,647,240,752,1639,1420,1162,1062,2826,3424.24,-2.155905237321032,5.422660557105647,1646622795.7,eth
2021-09-10,0.12776418487025487,0.3474192916992108,368,113,426,907,722,529,480,1321,3209.41,-6.273800901805949,5.1294197739254,1736829807.16,eth
2021-09-17,0.18577173585517928,0.4947121854924203,84,33,80,197,255,228,181,533,3398.82,-4.775219513288464,4.0962149035696065,1269889232.32,eth
2021-09-18,0.27223786184072724,0.6546059049046407,251,85,209,545,940,788,690,1962,3435.76,1.086847788350065,4.07971593712446,968755868.2,eth
2021-09-19,0.08960051391770577,0.3286221946259299,408,156,565,1129,628,462,468,1205,3328.85,-3.1116841688592967,3.9883400994867726,749411817.66,eth
2021-08-13,0.4875975076103501,0.7548574299566676,19,4,9,32,73,41,46,150,0.2869,NA,NA,206410328.08,doge
2021-08-14,0.1254380981462939,0.3372827873434039,1559,441,1858,3858,2961,1983,1900,5064,0.2941,2.5095852213314673,NA,260906424.89,doge
2021-08-15,0.15217123749413378,0.40999225264242184,761,273,779,1813,1865,1338,1235,3483,0.3403,15.708942536552197,NA,465059980.83,doge
2021-08-16,0.14765499693854583,0.40020493071965896,893,241,800,1934,1895,1390,1265,3489,0.3196,-6.082868057596236,NA,436856880.92,doge
2021-08-17,0.15217779126546674,0.412257871460994,847,238,856,1941,1769,1356,1197,3290,0.2993,-6.35168961201501,NA,345099181.77,doge
2021-08-18,0.1381381566291341,0.4111017103093499,778,236,877,1891,1684,1200,1097,3058,0.3031,1.2696291346474986,NA,396963032.99,doge
2021-08-19,0.093063479408337,0.31541183538962597,450,178,695,1323,757,530,488,1454,0.3178,4.849884526558901,NA,235098095.35,doge
2021-08-20,0.19817562996786744,0.4031144638329699,157,36,131,324,392,294,278,836,0.3274,3.020767778477018,7.448193000554706,212504157.88,doge
2021-08-21,0.15605390172187164,0.41660804481189234,787,237,882,1906,1765,1281,1206,3248,0.3169,-3.2070861331704337,7.708745423657224,146641684.13,doge
2021-08-22,0.1825108421732544,0.4609361963314289,768,221,710,1699,1788,1283,1233,3264,0.3149,-0.631113916061854,4.378353330305804,117986549.47,doge
2021-08-23,0.13268259579571998,0.36261802477535,494,133,675,1302,958,666,635,1785,0.3179,0.9526833915528776,3.7901694505687007,161857279.96,doge
2021-08-26,0.24110885981784105,0.5776322434915734,295,93,234,622,974,696,661,1856,0.2684,-8.270676691729317,4.799201436143624,136542550.04,doge
2021-08-27,0.15014282755847524,0.4026410902662995,665,225,749,1639,1414,1023,955,2722,0.2945,9.72429210134127,6.426573309246134,116948362.01,doge
2021-08-28,0.13110317191874776,0.38571840403155194,638,213,769,1620,1520,1199,1078,2761,0.2858,-2.9541595925297037,6.414923678603402,74635735.53,doge
2021-08-29,0.12995722949104574,0.33871395554520917,548,160,629,1337,1008,666,649,1812,0.281,-1.679496151154647,6.409263192013193,76061355.59,doge
2021-08-30,0.245850574633241,0.4954660806635686,340,99,222,661,1029,855,764,2014,0.272,-3.2028469750889688,6.343041485737254,111876743.63,doge
2021-08-31,0.13904893712117053,0.3796934992031208,743,228,776,1747,1538,1171,1083,2782,0.2783,2.316176470588216,5.638954379512165,101124514,doge
2021-09-01,0.18419716739041267,0.4531896408024568,778,217,801,1796,1742,1189,1195,3217,0.2946,5.8569888609414145,6.109869965420468,121493360.06,doge
2021-09-02,0.12342937703762448,0.33782517991021255,503,152,606,1261,837,563,549,1505,0.2947,0.03394433129668695,4.855921729415586,204131730.55,doge
2021-09-03,0.2846784268114069,0.5807229943808504,310,87,239,636,1072,810,752,2208,0.2962,0.5089921954529952,3.2048058805453885,169313704.92,doge
2021-09-04,0.15415562518522355,0.4081004401386161,641,182,764,1587,1344,1015,972,2536,0.2994,1.080351114112088,2.907620149549151,126198821.33,doge
2021-09-05,0.13487479510595948,0.37266798064761025,580,198,678,1456,1221,910,815,2291,0.3145,5.0434201736806905,3.0942129655227455,112263216.57,doge
2021-09-06,0.3103685128350148,0.5512694117257795,298,64,187,549,921,751,655,1852,0.3092,-1.6852146263911072,2.727993494551632,126025095.95,doge
2021-09-07,0.1480148860306763,0.4436027827485397,737,308,756,1801,1844,1584,1389,3707,0.2547,-17.626131953428203,7.832693488844959,390592327.36,doge
2021-09-08,0.10433330498392392,0.4000895507656419,582,292,683,1557,1384,1312,1084,2690,0.2568,0.8244994110718551,7.315558319985887,171327854.63,doge
2021-09-09,0.1343551354307997,0.40177215353664864,647,240,752,1639,1420,1162,1062,2826,0.2525,-1.674454828660421,7.276909658874458,102990009.49,doge
2021-09-10,0.12776418487025487,0.3474192916992108,368,113,426,907,722,529,480,1321,0.2397,-5.069306930693074,7.270398402880507,93759172.14,doge
2021-09-17,0.18577173585517928,0.4947121854924203,84,33,80,197,255,228,181,533,0.2398,-0.9500206526228848,3.352191333915992,120826082.23,doge
2021-09-18,0.27223786184072724,0.6546059049046407,251,85,209,545,940,788,690,1962,0.2414,0.6672226855713115,3.3545264165406627,50123191.89,doge
2021-09-19,0.08960051391770577,0.3286221946259299,408,156,565,1129,628,462,468,1205,0.2329,-3.5211267605633867,3.115610982647999,42176019.92,doge
